"Timestamp","Ki seks ou ?","Ki tranch laj ou ?","Nan ki depatman wap viv ? (Si'w pap viv ayiti ajoute non peyi wap viv lan)","Ki nivo etid ou ?","Eske'w fè nouvo kat dèmalòg (Kat idantifikasyon) ou an deja ?","Eske'w vote deja ?","Daprè ou menm, pou ki rezon ou panse on moun pa al vote ?","Pou ki rezon ou panse on moun sipoze al vote ?","Eske ou pral vote ane sa ?","Eske ou panse eleksyon sila ap pote chanjman nan peyi a ?"
"2021/05/16 12:13:21 pm GMT-4","Gason","Ant 35 ak 44 lane","Lwès","Pwofesyonèl","Wi","Non","Mwen pa enterese avek bagay konsa","Le'w vote se yon opòtinite pou chanjman","Non","Non"
"2021/05/16 12:19:05 pm GMT-4","Gason","Ant 18 ak 24 lane","Lwès","Inivèsitè","Wi","Non","Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman;Pou kob gaz kapab desann;Chak grenn vòt konte !;Pou nou konbat lamizè","Non","Non"
"2021/05/16 12:20:06 pm GMT-4","Fi","Ant 18 ak 24 lane","Lwès","Inivèsitè","Non","Non","Paske li pa jwenn entere ni nan sa l'ap gade ni nan sa l'ap tande, Moun ki swadizan vle reprezante l yo pa kalifye alevwa pou yo ta serye li prefere pa vote tan poul konnen li te patisipe nan simagri k'ap antere peyi l  ","Se Yon devwa sivik ou ranpli","Non","Non"
"2021/05/16 12:25:06 pm GMT-4","Fi","Ant 18 ak 24 lane","Lwès","Inivèsitè","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman;Pou kob gaz kapab desann;Chak grenn vòt konte !;Pou nou konbat lamizè;Pou nou retire Jonevel Moise sou pouvwa, li pap regle anyen serye","Non","Wi"
"2021/05/16 12:28:07 pm GMT-4","Fi","Ant 35 ak 44 lane","Lwès","Pwofesyonèl","Wi","Wi","Pou ensekirite ki genyen nan peyi a","Le'w vote se yon opòtinite pou chanjman","Non","Wi"
"2021/05/16 12:31:12 pm GMT-4","Gason","Ant 18 ak 24 lane","Sant","Inivèsitè","Wi","Non","Mwen pa enterese avek bagay konsa","Chak grenn vòt konte !","Non","Non"
"2021/05/16 12:35:22 pm GMT-4","Gason","Ant 15 ak 17 lane","Lwès","Segondè","Non","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Chak grenn vòt konte !","Non","Wi"
"2021/05/16 12:57:49 pm GMT-4","Fi","Ant 25 ak 34 lane","Lwès","Pwofesyonèl","Wi","Non","Politisyen nou yo pa serye","Chak grenn vòt konte !;Pou nou konbat lamizè","Non","Wi"
"2021/05/16 12:58:51 pm GMT-4","Gason","Ant 25 ak 34 lane","Nò","Pwofesyonèl","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye;Mwen pa enterese avek bagay konsa;Mwen pa gen tan poum pedi","Le'w vote se yon opòtinite pou chanjman;Pou kob gaz kapab desann;Chak grenn vòt konte !;Pou nou konbat lamizè","Non","Non"
"2021/05/16 1:01:10 pm GMT-4","Gason","Ant 18 ak 24 lane","Nò","Inivèsitè","Wi","Non","Pou ensekirite ki genyen nan peyi a","Le'w vote se yon opòtinite pou chanjman;Chak grenn vòt konte !","Non","Wi"
"2021/05/16 1:02:16 pm GMT-4","Fi","Ant 18 ak 24 lane","Lwès","Segondè","Wi","Non","Politisyen nou yo pa serye","Chak grenn vòt konte !","Non","Non"
"2021/05/16 1:04:22 pm GMT-4","Gason","Ant 35 ak 44 lane","Sid","Pwofesyonèl","Wi","Wi","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Pou retire Jovenel sou pouvwa","Wi","Wi"
"2021/05/16 1:19:47 pm GMT-4","Gason","Ant 35 ak 44 lane","Lwès","Pwofesyonèl","Wi","Wi","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Chak grenn vòt konte !","Non","Non"
"2021/05/16 1:22:52 pm GMT-4","Fi","Ant 18 ak 24 lane","Lwès","Inivèsitè","Wi","Non","Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman","Non","Non"
"2021/05/16 2:09:19 pm GMT-4","Gason","Ant 18 ak 24 lane","Latibonit","Segondè","Non","Non","Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman","Non","Non"
"2021/05/16 2:24:33 pm GMT-4","Fi","Ant 25 ak 34 lane","Sant","Inivèsitè","Wi","Non","Mwen pa enterese avek bagay konsa","Pou kob gaz kapab desann","Non","Non"
"2021/05/16 2:25:31 pm GMT-4","Fi","Ant 35 ak 44 lane","Sant","Primè","Wi","Wi","tout moun dwe vote","Le'w vote se yon opòtinite pou chanjman;Pou kob gaz kapab desann;Chak grenn vòt konte !;Pou nou konbat lamizè","Wi","Wi"
"2021/05/16 2:51:53 pm GMT-4","Gason","Ant 35 ak 44 lane","Latibonit","Inivèsitè","Wi","Non","Pou ensekirite ki genyen nan peyi a","Chak grenn vòt konte !","Non","Non"
"2021/05/16 2:52:25 pm GMT-4","Fi","Ant 25 ak 34 lane","Latibonit","","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Pou nou konbat lamizè","Non","Non"
"2021/05/16 2:54:25 pm GMT-4","Fi","Ant 25 ak 34 lane","Nò","","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman;Pou kob gaz kapab desann;Chak grenn vòt konte !;Pou nou konbat lamizè;pou yon lavi miyo","Non","Wi"
"2021/05/16 2:54:57 pm GMT-4","Fi","Ant 18 ak 24 lane","Lwès","Segondè","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye;Mwen pa enterese avek bagay konsa","Le'w vote se yon opòtinite pou chanjman;Pou kob gaz kapab desann;Chak grenn vòt konte !;Pou nou konbat lamizè","Non","Non"
"2021/05/16 2:56:03 pm GMT-4","Gason","Ant 35 ak 44 lane","Latibonit","Inivèsitè","Wi","Wi","Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman;Pou kob gaz kapab desann;Chak grenn vòt konte !;Pou nou konbat lamizè","Non","Wi"
"2021/05/16 3:00:41 pm GMT-4","Fi","Ant 25 ak 34 lane","Lwès","Pwofesyonèl","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye;nou soufri trop","Le'w vote se yon opòtinite pou chanjman;Pou kob gaz kapab desann;Chak grenn vòt konte !;Pou nou konbat lamizè","Non","Wi"
"2021/05/16 5:26:22 pm GMT-4","Gason","Ant 25 ak 34 lane","Lwès","Inivèsitè","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Chak grenn vòt konte !","Non","Non"
"2021/05/16 5:29:28 pm GMT-4","Fi","Ant 18 ak 24 lane","Nò","Inivèsitè","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman;Pou nou konbat lamizè","Non","Wi"
"2021/05/16 5:35:12 pm GMT-4","Gason","Ant 35 ak 44 lane","Lwès","","Wi","Non","Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman;Pou kob gaz kapab desann;Chak grenn vòt konte !","Non","Non"
"2021/05/16 5:41:01 pm GMT-4","Gason","Ant 25 ak 34 lane","Nò","Pwofesyonèl","Wi","Non","Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman","Non","Wi"
"2021/05/16 5:42:00 pm GMT-4","Fi","Ant 45 ak 54 lane","Lwès","Pwofesyonèl","Wi","Wi","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman;Pou kob gaz kapab desann;Chak grenn vòt konte !;Pou nou konbat lamizè","Wi","Wi"
"2021/05/16 5:44:58 pm GMT-4","Gason","Ant 18 ak 24 lane","Sant","","Wi","Wi","Pou ensekirite ki genyen nan peyi a","Le'w vote se yon opòtinite pou chanjman;Pou nou konbat lamizè","Non","Non"
"2021/05/16 5:52:11 pm GMT-4","Gason","Ant 25 ak 34 lane","Lwès","Pwofesyonèl","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye;Espwa peyi an e. Nan grenn vote ou an li ye","Chak grenn vòt konte !","Wi","Wi"
"2021/05/16 6:06:07 pm GMT-4","Gason","Ant 18 ak 24 lane","Lwès","Pwofesyonèl","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman","Non","Wi"
"2021/05/16 6:13:59 pm GMT-4","Gason","Ant 25 ak 34 lane","Lwès","Pwofesyonèl","Wi","Non","Mwen pa enterese avek bagay konsa","Le'w vote se yon opòtinite pou chanjman;Pou kob gaz kapab desann;Chak grenn vòt konte !;Pou nou konbat lamizè;Nou bezwen yon bo chanjman","Non","Non"
"2021/05/16 6:21:54 pm GMT-4","Gason","Ant 25 ak 34 lane","Lwès","Pwofesyonèl","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye;Mwen pa enterese avek bagay konsa","Le'w vote se yon opòtinite pou chanjman;Pou kob gaz kapab desann;Chak grenn vòt konte !;Pou nou konbat lamizè","Non","Wi"
"2021/05/16 6:22:53 pm GMT-4","Gason","Ant 25 ak 34 lane","Nò","Pwofesyonèl","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman;Pou kob gaz kapab desann","Non","Non"
"2021/05/16 6:31:56 pm GMT-4","Gason","Ant 25 ak 34 lane","Lwès","","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye;Mwen pa enterese avek bagay konsa","Le'w vote se yon opòtinite pou chanjman;Pou kob gaz kapab desann;Chak grenn vòt konte !;Pou nou konbat lamizè","Wi","Non"
"2021/05/16 6:40:19 pm GMT-4","Gason","Ant 18 ak 24 lane","Lwès","Pwofesyonèl","Wi","Non","Mwen pa enterese avek bagay konsa","Le'w vote se yon opòtinite pou chanjman","Wi","Wi"
"2021/05/16 6:45:02 pm GMT-4","Gason","Ant 45 ak 54 lane","Nò","Pwofesyonèl","Wi","Wi","Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman","Wi","Wi"
"2021/05/16 6:48:30 pm GMT-4","Gason","Ant 18 ak 24 lane","Lwès","Pwofesyonèl","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman","Non","Non"
"2021/05/16 8:39:25 pm GMT-4","Gason","Ant 18 ak 24 lane","Lwès","Inivèsitè","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye;Mwen pa enterese avek bagay konsa","Le'w vote se yon opòtinite pou chanjman;Pou kob gaz kapab desann;Chak grenn vòt konte !;Pou nou konbat lamizè","Non","Non"
"2021/05/16 8:39:42 pm GMT-4","Gason","Ant 25 ak 34 lane","Lwès","Inivèsitè","Wi","Non","Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman;Chak grenn vòt konte !","Non","Non"
"2021/05/16 8:51:19 pm GMT-4","Gason","Ant 25 ak 34 lane","Latibonit","","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman","Non","Wi"
"2021/05/16 8:52:23 pm GMT-4","Fi","Ant 25 ak 34 lane","Canada","Pwofesyonèl","Non","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman;Chak grenn vòt konte !;Pou nou konbat lamizè;Pou nou kapab gen on bel ayiti","Non","Wi"
"2021/05/16 8:54:50 pm GMT-4","Fi","Ant 18 ak 24 lane","Lwès","Inivèsitè","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Chak grenn vòt konte !","Non","Non"
"2021/05/16 8:57:03 pm GMT-4","Gason","Ant 18 ak 24 lane","Lwès","","Wi","Non","Pou ensekirite ki genyen nan peyi a","Le'w vote se yon opòtinite pou chanjman;Chak grenn vòt konte !;Pou nou konbat lamizè","Non","Non"
"2021/05/16 8:57:27 pm GMT-4","Fi","Ant 18 ak 24 lane","Lwès","Pwofesyonèl","Non","Wi","Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman;Pou nou konbat lamizè","Non","Wi"
"2021/05/16 8:58:47 pm GMT-4","Gason","Ant 25 ak 34 lane","Sidès","","Wi","Non","Politisyen nou yo pa serye","Pou nou konbat lamizè","Wi","Wi"
"2021/05/16 8:59:28 pm GMT-4","Gason","Ant 45 ak 54 lane","Lwès","Pwofesyonèl","Wi","Wi","Pou ensekirite ki genyen nan peyi a","Pou nou konbat lamizè","Non","Non"
"2021/05/16 8:59:55 pm GMT-4","Gason","Ant 35 ak 44 lane","Latibonit","","Non","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman","Non","Non"
"2021/05/16 9:00:46 pm GMT-4","Fi","Ant 45 ak 54 lane","Lwès","Pwofesyonèl","Wi","Non","Mwen pa enterese avek bagay konsa","Le'w vote se yon opòtinite pou chanjman;Pou nou konbat lamizè","Non","Non"
"2021/05/16 9:01:58 pm GMT-4","Gason","Ant 18 ak 24 lane","Lwès","Pwofesyonèl","Wi","Non","Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman;Pou nou konbat lamizè","Wi","Wi"
"2021/05/16 9:02:17 pm GMT-4","Gason","Ant 25 ak 34 lane","Nòdès","","Wi","Wi","Politisyen nou yo pa serye;Paske gen trop koripsyon nan rezilta eleksyon yo","Le'w vote se yon opòtinite pou chanjman;Pou nou konbat lamizè","Non","Non"
"2021/05/16 9:02:57 pm GMT-4","Fi","Ant 35 ak 44 lane","Lwès","Pwofesyonèl","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman;Chak grenn vòt konte !;Pou nou konbat lamizè","Non","Wi"
"2021/05/16 9:04:00 pm GMT-4","Fi","Ant 55 ak 64 lane","Lwès","Pwofesyonèl","Wi","Wi","Mwen pa enterese avek bagay konsa","Pou nou konbat lamizè","Non","Wi"
"2021/05/16 9:04:51 pm GMT-4","Gason","Ant 25 ak 34 lane","Sant","Pwofesyonèl","Wi","Wi","Mwen pa enterese avek bagay konsa","Le'w vote se yon opòtinite pou chanjman;Pou kob gaz kapab desann;Chak grenn vòt konte !;Pou nou konbat lamizè","Wi","Wi"
"2021/05/16 9:05:38 pm GMT-4","Gason","Ant 18 ak 24 lane","Sant","Segondè","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman","Non","Wi"
"2021/05/16 9:05:42 pm GMT-4","Gason","Ant 25 ak 34 lane","Lwès","Pwofesyonèl","Wi","Non","Mwen pa enterese avek bagay konsa","Chak grenn vòt konte !","Wi","Wi"
"2021/05/16 9:06:45 pm GMT-4","Fi","Ant 18 ak 24 lane","Lwès","Pwofesyonèl","Wi","Non","Pou ensekirite ki genyen nan peyi a","Chak grenn vòt konte !","Wi","Non"
"2021/05/16 9:07:44 pm GMT-4","Gason","75 lane ou plis","Nò","","Non","Wi","Mwen pa enterese avek bagay konsa","Le'w vote se yon opòtinite pou chanjman;Pou kob gaz kapab desann;Chak grenn vòt konte !;Pou nou konbat lamizè","Non","Non"
"2021/05/16 9:08:47 pm GMT-4","Fi","Ant 15 ak 17 lane","Lwès","Segondè","Non","Non","Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman;Chak grenn vòt konte !;Pou nou konbat lamizè","Non","Wi"
"2021/05/16 9:11:40 pm GMT-4","Fi","Ant 65 ak 74 lane","Latibonit","Pwofesyonèl","Wi","Wi","Paske kandida yo pa respekte pwomès yo","Chak grenn vòt konte !","Non","Wi"
"2021/05/16 9:12:54 pm GMT-4","Fi","Ant 25 ak 34 lane","Grandans","Inivèsitè","Wi","Non","Mwen pa enterese avek bagay konsa","Pou nou konbat lamizè","Non","Non"
"2021/05/16 9:14:18 pm GMT-4","👫","Ant 25 ak 34 lane","Sant","Inivèsitè","Non","Non","Mwen pa enterese avek bagay konsa","Pou kob gaz kapab desann","Non","Non"
"2021/05/16 9:14:54 pm GMT-4","Gason","Ant 45 ak 54 lane","Nòdwès","Pwofesyonèl","Wi","Wi","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye;Mwen pa enterese avek bagay konsa","Le'w vote se yon opòtinite pou chanjman;Pou kob gaz kapab desann;Chak grenn vòt konte !;Pou nou konbat lamizè","Wi","Non"
"2021/05/16 9:15:45 pm GMT-4","Fi","Ant 35 ak 44 lane","Sid","Pwofesyonèl","Wi","Non","Politisyen nou yo pa serye","Pou kob gaz kapab desann","Wi","Wi"
"2021/05/16 9:19:27 pm GMT-4","Fi","Ant 55 ak 64 lane","Sidès","M se yon antreprenè","Wi","Wi","Pou ensekirite ki genyen nan peyi a","Chak grenn vòt konte !","Non","Wi"
"2021/05/16 9:20:43 pm GMT-4","Gason","Ant 35 ak 44 lane","Lwès","Pwofesyonèl","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman;Pou kob gaz kapab desann","Non","Non"
"2021/05/16 9:21:20 pm GMT-4","Fi","Ant 45 ak 54 lane","Se New-York map viv mw vin fè kèk tan an Ayiti epi Corona tou pranm la donk mwen tou rete an Ayiti nan Delmas","Pwofesyonèl","Wi","Wi","Politisyen nou yo pa serye","Chak grenn vòt konte !","Wi","Non"
"2021/05/16 9:25:29 pm GMT-4","😆Idk😂","Ant 18 ak 24 lane","Nòdès","Inivèsitè","Wi","Non","Mwen pa enterese avek bagay konsa","😂😂Se si yo vle y'al vote wi,si yo pa vle yo pa al vote oh oh😂😂","Wi","Wi"
"2021/05/16 9:26:55 pm GMT-4","Gason","Ant 35 ak 44 lane","Sid","Inivèsitè","Wi","Non","Mwen pa enterese avek bagay konsa","Paskel vle","Non","Non"
"2021/05/16 9:27:43 pm GMT-4","Gason","Ant 18 ak 24 lane","Lwès","Pwofesyonèl","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman;Pou kob gaz kapab desann;Chak grenn vòt konte !","Non","Non"
"2021/05/16 9:28:32 pm GMT-4","Fi","Ant 18 ak 24 lane","Nip","Segondè","Wi","Non","Mwen pa enterese avek bagay konsa","Le'w vote se yon opòtinite pou chanjman;Pou kob gaz kapab desann","Non","Wi"
"2021/05/16 9:29:15 pm GMT-4","Sa nou bezwen konnen,pou n'al harnaqué'm sou tlf mw","Ant 55 ak 64 lane","Nò","Pwofesyonèl","Wi","Wi","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman;Pou kob gaz kapab desann;Chak grenn vòt konte !;Pou nou konbat lamizè","Non","Wi"
"2021/05/16 9:31:05 pm GMT-4","Gason","Ant 25 ak 34 lane","Sid","Inivèsitè","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye;Mwen pa enterese avek bagay konsa","Le'w vote se yon opòtinite pou chanjman;Chak grenn vòt konte !;Pou nou konbat lamizè","Non","Wi"
"2021/05/16 9:33:20 pm GMT-4","Gason","Ant 18 ak 24 lane","Grandans","Segondè","Non","Non","Mwen pa enterese avek bagay konsa","Pou kob gaz kapab desann;Pou nou konbat lamizè","Non","Wi"
"2021/05/16 9:34:33 pm GMT-4","Gason","Ant 55 ak 64 lane","Sidès","Pwofesyonèl","Wi","Wi","Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman","Non","Wi"
"2021/05/16 9:35:15 pm GMT-4","Fi","Ant 65 ak 74 lane","Sant","Pwofesyonèl","Wi","Wi","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman;Pou nou konbat lamizè","Wi","Wi"
"2021/05/16 9:36:17 pm GMT-4","Gason","Ant 45 ak 54 lane","Grandans","Pwofesyonèl","Wi","Wi","Pou ensekirite ki genyen nan peyi a","Pou kob gaz kapab desann","Wi","Wi"
"2021/05/16 9:37:06 pm GMT-4","Gason","Ant 18 ak 24 lane","Lwès","Pwofesyonèl","Wi","Non","Pou ensekirite ki genyen nan peyi a","Le'w vote se yon opòtinite pou chanjman","Non","Non"
"2021/05/16 9:37:22 pm GMT-4","Gason","Ant 15 ak 17 lane","Nò","Segondè","Non","Non","Politisyen nou yo pa serye","Chak grenn vòt konte !","Non","Wi"
"2021/05/16 9:38:54 pm GMT-4","Fi","Ant 35 ak 44 lane","Sidès","M pa gen yon djòb serye map fè nan peyi sauf ke mwen pa yon fanm sòt","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Pou kob gaz kapab desann","Non","Wi"
"2021/05/16 9:39:30 pm GMT-4","Gason","Ant 25 ak 34 lane","Lwès","Pwofesyonèl","Non","Non","Mwen pa enterese avek bagay konsa","Pou kob gaz kapab desann","Non","Non"
"2021/05/16 9:42:25 pm GMT-4","Gason","Ant 18 ak 24 lane","Nòdwès","À peine mwen fini lékòl...so mwen pa gen yon bgy serye map fè","Non","Non","Pou ensekirite ki genyen nan peyi a","Le'w vote se yon opòtinite pou chanjman;Pou kob gaz kapab desann","Wi","Non"
